x,y,lcdi
144.5,89.5,5.33204466
145.5,89.5,5.332300778
146.5,89.5,5.332399559
147.5,89.5,5.332648109
148.5,89.5,5.332948973
149.5,89.5,5.333602231
150.5,89.5,5.333533299
151.5,89.5,5.333813033
152.5,89.5,5.334385209
153.5,89.5,5.334843305
154.5,89.5,5.334761815
155.5,89.5,5.335499818
156.5,89.5,5.33580016
157.5,89.5,5.336184241
158.5,89.5,5.336256816
159.5,89.5,5.336457642
160.5,89.5,5.336919431
161.5,89.5,5.336658055
162.5,89.5,5.336638215
163.5,89.5,5.336955525
164.5,89.5,5.336953016
165.5,89.5,5.336975835
166.5,89.5,5.337285917
167.5,89.5,5.337447377
168.5,89.5,5.337654421
169.5,89.5,5.337862359
170.5,89.5,5.337855067
171.5,89.5,5.337834127
172.5,89.5,5.338130506
173.5,89.5,5.337982205
174.5,89.5,5.338271235
175.5,89.5,5.338371145
176.5,89.5,5.338599965
177.5,89.5,5.338707413
178.5,89.5,5.339191209
179.5,89.5,5.339475769
-179.5,88.5,5.091262256
-178.5,88.5,5.091504432
-177.5,88.5,5.091523628
-176.5,88.5,5.091701069
-175.5,88.5,5.091674117
-174.5,88.5,5.09190693
-173.5,88.5,5.092149139
-172.5,88.5,5.092233367
-171.5,88.5,5.092308509
-170.5,88.5,5.09238331
-169.5,88.5,5.092578748
-168.5,88.5,5.092690513
-167.5,88.5,5.092997606
-166.5,88.5,5.093266358
-165.5,88.5,5.093627286
-164.5,88.5,5.093783546
-163.5,88.5,5.09412547
-162.5,88.5,5.094553627
-161.5,88.5,5.094927092
-160.5,88.5,5.095384466
-159.5,88.5,5.095963239
-158.5,88.5,5.096400737
-157.5,88.5,5.096893814
-156.5,88.5,5.097489175
-155.5,88.5,5.097926739
-154.5,88.5,5.098243412
-153.5,88.5,5.098439113
-152.5,88.5,5.098709018
-151.5,88.5,5.099062072
-150.5,88.5,5.099219579
-149.5,88.5,5.099274829
-148.5,88.5,5.099562422
-147.5,88.5,5.099916105
-146.5,88.5,5.10037237
-145.5,88.5,5.100875165
-144.5,88.5,5.101331459
-143.5,88.5,5.101889473
-142.5,88.5,5.102177603
-141.5,88.5,5.102400831
-140.5,88.5,5.102642689
-139.5,88.5,5.102736622
-138.5,88.5,5.102811711
-137.5,88.5,5.102942235
-136.5,88.5,5.102979395
-135.5,88.5,5.103016161
-134.5,88.5,5.102829884
-133.5,88.5,5.102662375
-132.5,88.5,5.102578924
-131.5,88.5,5.10257137
-130.5,88.5,5.102275189
-129.5,88.5,5.102155483
-128.5,88.5,5.102202312
-127.5,88.5,5.102174254
-126.5,88.5,5.102331851
-125.5,88.5,5.102424501
-124.5,88.5,5.102452303
-123.5,88.5,5.102452302
-122.5,88.5,5.10243372
-121.5,88.5,5.102443035
-120.5,88.5,5.102731308
-119.5,88.5,5.102973199
-118.5,88.5,5.10294507
-117.5,88.5,5.10313917
-116.5,88.5,5.103193259
-115.5,88.5,5.103460762
-114.5,88.5,5.103794635
-113.5,88.5,5.103731031
-112.5,88.5,5.103593931
-111.5,88.5,5.103894352
-110.5,88.5,5.103867948
-109.5,88.5,5.10395157
-108.5,88.5,5.104053439
-107.5,88.5,5.103913212
-106.5,88.5,5.103968136
-105.5,88.5,5.104069822
-104.5,88.5,5.104348291
-103.5,88.5,5.104385182
-102.5,88.5,5.104143365
-101.5,88.5,5.103930284
-100.5,88.5,5.103810533
-99.5,88.5,5.103244767
-98.5,88.5,5.102901731
-97.5,88.5,5.102716509
-96.5,88.5,5.102382086
-95.5,88.5,5.102214993
-94.5,88.5,5.10199182
-93.5,88.5,5.101740706
-92.5,88.5,5.101759262
-91.5,88.5,5.10148933
-90.5,88.5,5.101302889
-89.5,88.5,5.101553311
-88.5,88.5,5.10189656
-87.5,88.5,5.102184441
-86.5,88.5,5.102333187
-85.5,88.5,5.102398241
-84.5,88.5,5.102267986
-83.5,88.5,5.102081126
-82.5,88.5,5.101782939
-81.5,88.5,5.101444455
-80.5,88.5,5.100859728
-79.5,88.5,5.10029824
-78.5,88.5,5.09986273
-77.5,88.5,5.09992641
-76.5,88.5,5.099964838
-75.5,88.5,5.099601766
-74.5,88.5,5.09929311
-73.5,88.5,5.099097336
-72.5,88.5,5.099020997
-71.5,88.5,5.099046821
-70.5,88.5,5.098742594
-69.5,88.5,5.098400019
-68.5,88.5,5.098100182
-67.5,88.5,5.097916398
-66.5,88.5,5.097350057
-65.5,88.5,5.097012424
-64.5,88.5,5.096599457
-63.5,88.5,5.096120105
-62.5,88.5,5.095785083
-61.5,88.5,5.095439281
-60.5,88.5,5.095303476
-59.5,88.5,5.09483121
-58.5,88.5,5.094682385
-57.5,88.5,5.094537689
-56.5,88.5,5.094512493
-55.5,88.5,5.093984137
-54.5,88.5,5.093623091
-53.5,88.5,5.093141138
-52.5,88.5,5.092685485
-51.5,88.5,5.091882331
-50.5,88.5,5.091958136
-49.5,88.5,5.092069964
-48.5,88.5,5.091719052
-47.5,88.5,5.091304066
-46.5,88.5,5.090407602
-45.5,88.5,5.089227419
-44.5,88.5,5.088022623
-43.5,88.5,5.087126861
-42.5,88.5,5.087172438
-41.5,88.5,5.087768044
-40.5,88.5,5.087499983
-39.5,88.5,5.087315866
-38.5,88.5,5.087707535
-37.5,88.5,5.087866501
-36.5,88.5,5.088164231
-35.5,88.5,5.088656775
-34.5,88.5,5.089298952
-33.5,88.5,5.09004275
-32.5,88.5,5.090692815
-31.5,88.5,5.091248617
-30.5,88.5,5.092054023
-29.5,88.5,5.092403376
-28.5,88.5,5.092566485
-27.5,88.5,5.09327075
-26.5,88.5,5.093735015
-25.5,88.5,5.094126657
-24.5,88.5,5.094441816
-23.5,88.5,5.094840195
-22.5,88.5,5.095841004
-21.5,88.5,5.096714629
-20.5,88.5,5.09706243
-19.5,88.5,5.097432716
-18.5,88.5,5.098079698
-17.5,88.5,5.09865038
-16.5,88.5,5.099524863
-15.5,88.5,5.100516295
-14.5,88.5,5.101827101
-13.5,88.5,5.102685291
-12.5,88.5,5.10340185
-11.5,88.5,5.104185357
-10.5,88.5,5.104224764
-9.5,88.5,5.103997517
-8.5,88.5,5.103986129
-7.5,88.5,5.104469649
-6.5,88.5,5.104793851
-5.5,88.5,5.10489496
-4.5,88.5,5.105008902
-3.5,88.5,5.105483864
-2.5,88.5,5.105296392
-1.5,88.5,5.105284764
-0.5,88.5,5.105445279
0.5,88.5,5.10549882
1.5,88.5,5.105128237
2.5,88.5,5.104849305
3.5,88.5,5.104307789
4.5,88.5,5.104896868
5.5,88.5,5.104954568
6.5,88.5,5.104569535
7.5,88.5,5.104393338
8.5,88.5,5.10450346
9.5,88.5,5.104671604
10.5,88.5,5.104973096
11.5,88.5,5.105580234
12.5,88.5,5.10597044
13.5,88.5,5.106396111
14.5,88.5,5.106478833
15.5,88.5,5.107455796
16.5,88.5,5.107947739
17.5,88.5,5.108134341
18.5,88.5,5.108725226
19.5,88.5,5.109901519
20.5,88.5,5.110087632
21.5,88.5,5.110533586
22.5,88.5,5.110873633
23.5,88.5,5.111476733
24.5,88.5,5.11183207
25.5,88.5,5.111911727
26.5,88.5,5.113000105
27.5,88.5,5.113378342
28.5,88.5,5.113625255
29.5,88.5,5.114218384
30.5,88.5,5.115393
31.5,88.5,5.115274418
32.5,88.5,5.115673325
33.5,88.5,5.116051303
34.5,88.5,5.116735367
35.5,88.5,5.11703919
36.5,88.5,5.117291307
37.5,88.5,5.117016117
38.5,88.5,5.117807965
39.5,88.5,5.117731134
40.5,88.5,5.117805249
41.5,88.5,5.118667829
42.5,88.5,5.118373566
43.5,88.5,5.118928005
44.5,88.5,5.119589372
45.5,88.5,5.120333399
46.5,88.5,5.120824343
47.5,88.5,5.121269183
48.5,88.5,5.121130274
49.5,88.5,5.121636443
50.5,88.5,5.121772912
51.5,88.5,5.121548255
52.5,88.5,5.121515203
53.5,88.5,5.121742369
54.5,88.5,5.121867021
55.5,88.5,5.121922578
56.5,88.5,5.122192148
57.5,88.5,5.122824575
58.5,88.5,5.123243626
59.5,88.5,5.123402797
60.5,88.5,5.124212871
61.5,88.5,5.124994684
62.5,88.5,5.125264839
63.5,88.5,5.125423092
64.5,88.5,5.125525655
65.5,88.5,5.12560043
66.5,88.5,5.125814567
67.5,88.5,5.126019296
68.5,88.5,5.125889398
69.5,88.5,5.125926941
70.5,88.5,5.125862295
71.5,88.5,5.125797606
72.5,88.5,5.125621506
73.5,88.5,5.125361577
74.5,88.5,5.125064547
75.5,88.5,5.124683906
76.5,88.5,5.124386772
77.5,88.5,5.124052367
78.5,88.5,5.123782839
79.5,88.5,5.123420063
80.5,88.5,5.12308472
81.5,88.5,5.122787006
82.5,88.5,5.122666025
83.5,88.5,5.122201043
84.5,88.5,5.121940776
85.5,88.5,5.121578832
86.5,88.5,5.12091002
87.5,88.5,5.120427155
88.5,88.5,5.119972236
89.5,88.5,5.119442426
90.5,88.5,5.118419966
91.5,88.5,5.117834591
92.5,88.5,5.117091256
93.5,88.5,5.116505516
94.5,88.5,5.115761866
95.5,88.5,5.11535301
96.5,88.5,5.114572504
97.5,88.5,5.113838528
98.5,88.5,5.112611977
99.5,88.5,5.112277811
100.5,88.5,5.111915269
101.5,88.5,5.110958057
102.5,88.5,5.110493829
103.5,88.5,5.109917234
104.5,88.5,5.109209579
105.5,88.5,5.108195631
106.5,88.5,5.107553646
107.5,88.5,5.106957904
108.5,88.5,5.106549869
109.5,88.5,5.10565848
110.5,88.5,5.105120226
111.5,88.5,5.104497857
112.5,88.5,5.103940197
113.5,88.5,5.102964201
114.5,88.5,5.102546168
115.5,88.5,5.102128352
116.5,88.5,5.101487944
117.5,88.5,5.100959237
118.5,88.5,5.100513551
119.5,88.5,5.100141611
120.5,88.5,5.099490654
121.5,88.5,5.099146651
122.5,88.5,5.098700377
123.5,88.5,5.098254095
124.5,88.5,5.097538868
125.5,88.5,5.097139785
126.5,88.5,5.096740763
127.5,88.5,5.09638817
128.5,88.5,5.0956542
129.5,88.5,5.095403543
130.5,88.5,5.094929514
131.5,88.5,5.093990498
132.5,88.5,5.09363706
133.5,88.5,5.092967777
134.5,88.5,5.092103608
135.5,88.5,5.091211599
136.5,88.5,5.090673078
137.5,88.5,5.090264316
138.5,88.5,5.090143408
139.5,88.5,5.089650703
140.5,88.5,5.089427432
141.5,88.5,5.089287684
142.5,88.5,5.088906213
143.5,88.5,5.088515667
144.5,88.5,5.088450814
145.5,88.5,5.088777209
146.5,88.5,5.089085022
147.5,88.5,5.089262861
148.5,88.5,5.089151352
149.5,88.5,5.089318025
150.5,88.5,5.089085023
151.5,88.5,5.089028831
152.5,88.5,5.089112061
153.5,88.5,5.088991802
154.5,88.5,5.08857405
155.5,88.5,5.08869558
156.5,88.5,5.088807225
157.5,88.5,5.088983913
158.5,88.5,5.089086089
159.5,88.5,5.08920685
160.5,88.5,5.089263235
161.5,88.5,5.088863792
162.5,88.5,5.088882639
163.5,88.5,5.088956978
164.5,88.5,5.088965252
165.5,88.5,5.089066674
166.5,88.5,5.089837607
167.5,88.5,5.090079152
168.5,88.5,5.090182218
169.5,88.5,5.090210932
170.5,88.5,5.090165321
171.5,88.5,5.089998889
172.5,88.5,5.089972373
173.5,88.5,5.089917155
174.5,88.5,5.090047571
175.5,88.5,5.090242236
176.5,88.5,5.090417708
177.5,88.5,5.090677128
178.5,88.5,5.090788127
179.5,88.5,5.091011067
-179.5,87.5,5.100862855
-178.5,87.5,5.101104892
-177.5,87.5,5.101123966
-176.5,87.5,5.10111531
-175.5,87.5,5.101264733
-174.5,87.5,5.101534532
-173.5,87.5,5.101701786
-172.5,87.5,5.101813137
-171.5,87.5,5.101859569
-170.5,87.5,5.10199903
-169.5,87.5,5.102157352
-168.5,87.5,5.102204196
-167.5,87.5,5.102455724
-166.5,87.5,5.102641669
-165.5,87.5,5.102911009
-164.5,87.5,5.103143027
-163.5,87.5,5.103477164
-162.5,87.5,5.103765472
-161.5,87.5,5.104230739
-160.5,87.5,5.104677486
-159.5,87.5,5.105245345
-158.5,87.5,5.105794146
-157.5,87.5,5.106342878
-156.5,87.5,5.106687077
-155.5,87.5,5.106910491
-154.5,87.5,5.10712452
-153.5,87.5,5.107338454
-152.5,87.5,5.107542993
-151.5,87.5,5.107858743
-150.5,87.5,5.107932623
-149.5,87.5,5.107987926
-148.5,87.5,5.108145514
-147.5,87.5,5.108415325
-146.5,87.5,5.108694675
-145.5,87.5,5.109048425
-144.5,87.5,5.109467341
-143.5,87.5,5.109802168
-142.5,87.5,5.109755608
-141.5,87.5,5.109523231
-140.5,87.5,5.109476863
-139.5,87.5,5.109412248
-138.5,87.5,5.109319552
-137.5,87.5,5.109059397
-136.5,87.5,5.108938526
-135.5,87.5,5.108864133
-134.5,87.5,5.108557394
-133.5,87.5,5.108139161
-132.5,87.5,5.107860409
-131.5,87.5,5.107572961
-130.5,87.5,5.107127384
-129.5,87.5,5.106663093
-128.5,87.5,5.106198538
-127.5,87.5,5.105743202
-126.5,87.5,5.105510799
-125.5,87.5,5.105222609
-124.5,87.5,5.104952962
-123.5,87.5,5.104599674
-122.5,87.5,5.104404406
-121.5,87.5,5.104274076
-120.5,87.5,5.103883283
-119.5,87.5,5.103650284
-118.5,87.5,5.103389378
-117.5,87.5,5.103240016
-116.5,87.5,5.103127826
-115.5,87.5,5.103182923
-114.5,87.5,5.103080585
-113.5,87.5,5.102681669
-112.5,87.5,5.102134354
-111.5,87.5,5.102033531
-110.5,87.5,5.101876252
-109.5,87.5,5.101755547
-108.5,87.5,5.101736922
-107.5,87.5,5.101290431
-106.5,87.5,5.100945894
-105.5,87.5,5.100926761
-104.5,87.5,5.101037859
-103.5,87.5,5.100702768
-102.5,87.5,5.100200514
-101.5,87.5,5.099782468
-100.5,87.5,5.099801546
-99.5,87.5,5.099830064
-98.5,87.5,5.099951238
-97.5,87.5,5.09927277
-96.5,87.5,5.098510481
-95.5,87.5,5.097850391
-94.5,87.5,5.097292448
-93.5,87.5,5.096809292
-92.5,87.5,5.096555615
-91.5,87.5,5.096137499
-90.5,87.5,5.096091011
-89.5,87.5,5.096421102
-88.5,87.5,5.096748802
-87.5,87.5,5.096965595
-86.5,87.5,5.096909368
-85.5,87.5,5.096569382
-84.5,87.5,5.096247428
-83.5,87.5,5.095674115
-82.5,87.5,5.094692642
-81.5,87.5,5.09368215
-80.5,87.5,5.092234036
-79.5,87.5,5.090921118
-78.5,87.5,5.090107532
-77.5,87.5,5.090466
-76.5,87.5,5.090807586
-75.5,87.5,5.09055062
-74.5,87.5,5.0903777
-73.5,87.5,5.090427127
-72.5,87.5,5.09069646
-71.5,87.5,5.090950133
-70.5,87.5,5.090372439
-69.5,87.5,5.089929665
-68.5,87.5,5.089602904
-67.5,87.5,5.089170577
-66.5,87.5,5.08846517
-65.5,87.5,5.08794054
-64.5,87.5,5.087519249
-63.5,87.5,5.086875976
-62.5,87.5,5.086419305
-61.5,87.5,5.085970531
-60.5,87.5,5.085566693
-59.5,87.5,5.084930053
-58.5,87.5,5.084764808
-57.5,87.5,5.084630899
-56.5,87.5,5.084575588
-55.5,87.5,5.083578784
-54.5,87.5,5.082666084
-53.5,87.5,5.081558236
-52.5,87.5,5.080045426
-51.5,87.5,5.07838934
-50.5,87.5,5.078017165
-49.5,87.5,5.078196439
-48.5,87.5,5.078119075
-47.5,87.5,5.076999787
-46.5,87.5,5.075039838
-45.5,87.5,5.072662071
-44.5,87.5,5.070409973
-43.5,87.5,5.069265978
-42.5,87.5,5.069292245
-41.5,87.5,5.069742254
-40.5,87.5,5.069473003
-39.5,87.5,5.069253567
-38.5,87.5,5.069500755
-37.5,87.5,5.069902948
-36.5,87.5,5.070406084
-35.5,87.5,5.071423504
-34.5,87.5,5.072458498
-33.5,87.5,5.073505749
-32.5,87.5,5.074443859
-31.5,87.5,5.075039717
-30.5,87.5,5.075379569
-29.5,87.5,5.075759067
-28.5,87.5,5.076311568
-27.5,87.5,5.077313675
-26.5,87.5,5.078266557
-25.5,87.5,5.078982624
-24.5,87.5,5.079345145
-23.5,87.5,5.080630991
-22.5,87.5,5.083524869
-21.5,87.5,5.085297896
-20.5,87.5,5.086330023
-19.5,87.5,5.087414605
-18.5,87.5,5.08880242
-17.5,87.5,5.09031797
-16.5,87.5,5.09234083
-15.5,87.5,5.094087597
-14.5,87.5,5.096270958
-13.5,87.5,5.098117134
-12.5,87.5,5.099515706
-11.5,87.5,5.101045346
-10.5,87.5,5.101639827
-9.5,87.5,5.101940879
-8.5,87.5,5.102500621
-7.5,87.5,5.10349958
-6.5,87.5,5.104438201
-5.5,87.5,5.1054262
-4.5,87.5,5.105586427
-3.5,87.5,5.106307803
-2.5,87.5,5.106978131
-1.5,87.5,5.107211531
-0.5,87.5,5.10777901
0.5,87.5,5.108422529
1.5,87.5,5.108728751
2.5,87.5,5.108930409
3.5,87.5,5.109271258
4.5,87.5,5.110350321
5.5,87.5,5.110977766
6.5,87.5,5.111484439
7.5,87.5,5.111425619
8.5,87.5,5.112233847
9.5,87.5,5.113184501
10.5,87.5,5.11417035
11.5,87.5,5.115610163
12.5,87.5,5.116645832
13.5,87.5,5.117729633
14.5,87.5,5.119022181
15.5,87.5,5.120428211
16.5,87.5,5.121351299
17.5,87.5,5.122447987
18.5,87.5,5.123641347
19.5,87.5,5.125552352
20.5,87.5,5.127151196
21.5,87.5,5.128833011
22.5,87.5,5.130072196
23.5,87.5,5.131617515
24.5,87.5,5.132598894
25.5,87.5,5.133601478
26.5,87.5,5.135173796
27.5,87.5,5.136068986
28.5,87.5,5.137135974
29.5,87.5,5.138259479
30.5,87.5,5.140012409
31.5,87.5,5.140971478
32.5,87.5,5.14221433
33.5,87.5,5.143248697
34.5,87.5,5.144494392
35.5,87.5,5.145146481
36.5,87.5,5.145719755
37.5,87.5,5.146214794
38.5,87.5,5.146920391
39.5,87.5,5.147459736
40.5,87.5,5.147702704
41.5,87.5,5.148616293
42.5,87.5,5.149168462
43.5,87.5,5.149923911
44.5,87.5,5.150725741
45.5,87.5,5.15156641
46.5,87.5,5.152168658
47.5,87.5,5.152620987
48.5,87.5,5.153018864
49.5,87.5,5.153658998
50.5,87.5,5.154023328
51.5,87.5,5.154198171
52.5,87.5,5.154363871
53.5,87.5,5.155106145
54.5,87.5,5.155786712
55.5,87.5,5.156431492
56.5,87.5,5.157064324
57.5,87.5,5.157458273
58.5,87.5,5.157809173
