V1
"Australia, Cocos Islands, Christmas Island, Heard Island, McDonald Islands, Norfolk Island, Heard Island and McDonald Islands, "
"China(?!:Hong Kong|:Macao), Paracel Islands, Hong Kong, Macao, "
"Denmark, Faroe Islands, Greenland, "
"Aland Islands, Finland(?!:Aland), "
"French Southern and Antarctic Lands, Saint Barthelemy, France, Clipperton Island, Guadeloupe, French Guiana, Saint Martin, Mozambique, Martinique, Mayotte, New Caledonia, French Polynesia, Reunion, Saint Pierre and Miquelon, Wallis and Futuna, "
"Aruba, Bonaire, Sint Eustatius, Saba, Curacao, Netherlands, Sint Maarten, "
"New Zealand, Tokelau, Cook Islands, "
"Bouvet Island, Norway(?!:Bouvet|:Svalbard|:Jan Mayen), Svalbard, Jan Mayen, "
"Bermuda, Cayman Islands, Falkland Islands, UK(?!r), Gibraltar, British Indian Ocean Territory, Chagos Archipelago, Montserrat, Pitcairn Islands, South Georgia, South Sandwich Islands, Saint Helena, Ascension Island, Tristan da Cunha, Turks and Caicos Islands, Virgin Islands, British, Cyprus:Akrotiri, Cyprus:Dhekeli, South Georgia and the South Sandwich Islands, United Kingdom, Saint Helena, Ascension en Tristan da Cunha, Anguilla, "
"American Samoa, Guam, Northern Mariana Islands, Palau, US Minor Outlying Islands, USA, Virgin Islands, US, United States, Northern Marinana Islands-Guam, "
